corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
tg,rksp.0,387,26936,0,401,2521,0
tg,rksp.0,387,26936,0,2536,3657,0
tg,rksp.0,387,26936,0,3671,4360,0
tg,rksp.0,387,26936,0,4374,12343,0
tg,rksp.0,387,26936,0,12358,13088,0
tg,rksp.0,387,26936,0,13103,23780,0
tg,rksp.0,387,26936,0,23795,25310,0
tg,rksp.0,387,26936,0,25324,26936,0
tg,rksp.0,26952,56777,0,26966,27322,0
tg,rksp.0,26952,56777,0,27336,28582,0
tg,rksp.0,26952,56777,0,28596,32570,0
tg,rksp.0,26952,56777,0,32584,36273,0
tg,rksp.0,26952,56777,0,36287,36717,0
tg,rksp.0,26952,56777,0,36732,44402,0
tg,rksp.0,26952,56777,0,44417,48537,0
tg,rksp.0,26952,56777,0,48551,50164,0
tg,rksp.0,26952,56777,0,50179,50816,0
tg,rksp.0,26952,56777,0,50831,55976,0
tg,rksp.0,26952,56777,0,55990,56777,0
tg,rksp.0,56794,79804,0,56808,62411,0
tg,rksp.0,56794,79804,0,62426,65373,0
tg,rksp.0,56794,79804,0,65387,67149,0
tg,rksp.0,56794,79804,0,67163,70488,0
tg,rksp.0,56794,79804,0,70502,73442,0
tg,rksp.0,56794,79804,0,73456,74984,0
tg,rksp.0,56794,79804,0,74999,75658,0
tg,rksp.0,56794,79804,0,75672,79804,0
tg,rksp.0,79821,112805,0,79835,86337,0
tg,rksp.0,79821,112805,0,86351,88072,0
tg,rksp.0,79821,112805,0,88086,94751,0
tg,rksp.0,79821,112805,0,94766,95473,0
tg,rksp.0,79821,112805,0,95487,101505,0
tg,rksp.0,79821,112805,0,101520,104120,0
tg,rksp.0,79821,112805,0,104134,110026,0
tg,rksp.0,79821,112805,0,110040,112805,0
tg,rksp.0,112822,136152,0,112836,115021,0
tg,rksp.0,112822,136152,0,115035,116119,0
tg,rksp.0,112822,136152,0,116134,118034,0
tg,rksp.0,112822,136152,0,118048,118996,0
tg,rksp.0,112822,136152,0,119010,128041,0
tg,rksp.0,112822,136152,0,128056,128918,0
tg,rksp.0,112822,136152,0,128933,134286,0
tg,rksp.0,112822,136152,0,134300,136152,0
